populations.8,full,Id,Bamberg,species,CLONE,continent,region,status
1,AV_40_S15_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_40,4,tbr,BURBANK,North America,US,cultivated
1,AV_42_S70_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_42,4,tbr,EARLY BLUE,North America,US,cultivated
1,AV48_S6_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV48,4,tbr,MONONA,North America,US,cultivated
1,AV_49_S36_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_49,4,tbr,RUSSET NORKOTAH,North America,US,cultivated
1,AV_4_S69_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_4,4,tbr,BELRUS,North America,US,cultivated
1,AV_50_S23_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_50,4,tbr,ALLEGANY,North America,US,cultivated
1,AV_51_S64_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_51,4,tbr,SAGINAW GOLD,North America,US,cultivated
1,AV53_S43_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV53,4,tbr,RANGER RUSSET,North America,US,cultivated
1,AV54_S8_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV54,4,tbr,CALWHITE,North America,US,cultivated
1,AV56_S29_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV56,4,tbr,CHIPETA,North America,US,cultivated
1,AV_57_S43_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_57,4,tbr,FRONTIER RUSSET,North America,US,cultivated
1,AV_58_S25_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_58,4,tbr,GEMCHIP,North America,US,cultivated
1,AV5_S22_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV5,4,tbr,BISON,North America,US,cultivated
1,AV_60_S7_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_60,4,tbr,SANGRE,North America,US,cultivated
1,AV_61_S59_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_61,4,tbr,PUNGO,North America,US,cultivated
1,AV_62_S50_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_62,4,tbr,KRANTZ,North America,US,cultivated
1,AV_64_S59_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_64,4,tbr,RUSSET NUGGET,North America,US,cultivated
1,AV_65_S38_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_65,4,tbr,LA ROUGE,North America,US,cultivated
1,AV_66_S16_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_66,4,tbr,AMEY,North America,US,cultivated
1,AV_67_S5_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_67,4,tbr,HARLEY BLACKWELL,North America,US,cultivated
1,AV_68_S22_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_68,4,tbr,PETER WILCOX,North America,US,cultivated
1,AV_7_S79_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_7,4,tbr,BUTTE,North America,US,cultivated
1,AV_8_S86_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_8,4,tbr,DAZOC,North America,US,cultivated
1,AV9_S40_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV9,4,tbr,DENALI,North America,US,cultivated
16,BAO002_S54_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619144,2,stn,PIRAMPO,South American ,peru,landrace
4,BAO005_S72_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI595461,4,tbr,CON 931,South American ,chile,cultivated
8,BAO007_S84_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619145,4,tbradg,TARMELINA,South American ,peru,landrace
11,BAO008_S90_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619148,4,tbradg,CORAZON ROSADO,South American ,argentina,landrace
11,BAO009_S49_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI607497,4,tbradg,PAPA CHONCA,South American ,chile,landrace
20,BAO011_S61_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI584994,2,phu,IVP101,europe,netherlands,genetic material
10,BAO013_S73_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI607472,4,tbradg,KHUCHI AKITA,South American ,bolivia,landrace
20,BAO014_S79_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI607501,4,tbr,C89.315,South American ,peru,genetic material
20,BAO017_S50_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI491544,4,tbr,DTO-02,South American ,peru,genetic material
8,BAO018_S56_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI607498,4,tbradg,RUNTU HUAYRO,South American ,peru,landrace
8,BAO019_S62_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI607495,4,tbradg,CHAUCHA AMARILLA,South American ,peru,landrace
8,BAO020_S68_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619146,4,tbradg,PAQOCHA O MURU URENA,South American ,peru,landrace
20,BAO021_S74_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI607500,4,tbr,C91.640,South American ,peru,genetic material
8,BAO022_S80_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619147,4,tbradg,WACAPA NAGUIN,South American ,peru,landrace
2,BAO023_S86_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619135,4,tbr,YANA,South American ,peru,cultivated
5,BAO024_S92_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619136,4,tbr,CRUZA 148,North America,mexico,cultivated
8,BAO025_S51_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619140,4,tbradg,SANATANLALLA,South American ,peru,landrace
20,BAO027_S63_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI607499,4,tbr,C91.612,South American ,peru,genetic material
19,BAO028_S69_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI599280,2,ajh,JANCKO_AJAWIRI,South American ,bolivia,landrace
10,BAO031_S87_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI595444,4,tbradg,QOYLLU,South American ,bolivia,landrace
8,BAO032_S93_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619141,4,tbradg,HUAGALINA,South American ,peru,landrace
8,BAO035_S64_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619142,4,tbradg,BADULAQUE,South American ,peru,landrace
8,BAO036_S70_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619137,4,tbradg,SA-450,South American ,peru,landrace
4,BAO038_S82_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI245800,4,tbr,MUCANA - COR C.60,South American ,chile,landrace
11,BAO039_S88_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI660359,4,tbradg,NEGRA OJOSA,South American ,argentina,landrace
8,BAO044_S71_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI658587,4,tbradg,GUINCHO NEGRA,South American ,peru,landrace
8,BAO045_S77_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI653761,4,tbradg,YANA HUALASH,South American ,peru,landrace
8,BAO046_S83_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI660357,4,tbradg,SULLU,South American ,peru,landrace
2,BAO048_S95_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI619158,4,tbr,V-3,South American ,peru,cultivated
20,BAO_049_S48_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI665046,4,tbr,9H27-2,asia,japan,cultivated
2,BAO_051_S60_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI645563,4,tbr,CASA BLANCA,South American ,peru,landrace
14,BAO_052_S66_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI595438,2,juz,AZUL LUK'I,South American ,bolivia,landrace
8,BAO_053_S72_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642181,4,tbradg,YURACC CCOMPIS,South American ,peru,landrace
8,BAO_054_S78_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642182,4,tbradg,YANA MACUCO,South American ,peru,landrace
8,BAO_056_S89_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642184,4,tbradg,SUYTU VILQUINA,South American ,peru,landrace
8,BAO_057_S49_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642185,4,tbradg,GAYNA,South American ,peru,landrace
8,BAO_058_S55_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642186,4,tbradg,YUGUIMA,South American ,peru,landrace
8,BAO_059_S61_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642187,4,tbradg,PACIENCIA,South American ,peru,landrace
20,BAO_061_S67_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642189,4,tbradg,RUBI,South American ,Colombia,landrace
8,BAO_062_S73_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642438,4,tbradg,ALCCA IMILLA,South American ,peru,landrace
8,BAO_063_S79_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642439,4,tbradg,CANASTA,South American ,peru,landrace
8,BAO_064_S85_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642440,4,tbradg,GARHUASH SUITO,South American ,peru,landrace
8,BAO_065_S90_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642441,4,tbradg,HUICHIRI,South American ,peru,landrace
8,BAO_066_S50_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642444,4,tbradg,PUCA TROMBOS,South American ,peru,landrace
8,BAO_067_S56_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI642446,4,tbradg,OKELLA QUEHUILLO,South American ,peru,landrace
8,BAO_069_S68_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI662324,4,tbradg,LLUNCHUYWAQACHI,South American ,peru,landrace
8,BAO_071_S80_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI664474,4,tbradg,YANAMATA,South American ,peru,landrace
8,BAO_072_S86_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI664475,4,tbradg,CHIQUILLA PITIQUINA,South American ,peru,landrace
9,BAO_074_S51_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI664477,4,tbradg,LEONA - OCH 7009,South American ,ecuador,landrace
10,BAO_075_S57_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI669829,4,tbradg,HUAYCU,South American ,bolivia,landrace
14,BAO_082_S52_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI631201,2,juz,VIR 9742,South American ,NA,cultivated
8,BAO_084_S64_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI195213,4,tbradg,CPC 1490,South American ,peru,cultivated
12,BAO_085_S70_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI205524,4,tbradg,CPC 2359X2355,South American ,colombia,cultivated
10,BAO_086_S76_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230586,4,tbradg,GND s.n.,South American ,bolivia,cultivated
8,BAO_088_S88_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214421,4,tbradg,SMI 448,South American ,peru,cultivated
8,BAO_089_S93_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214437,4,tbradg,SMI 499,South American ,peru,cultivated
9,BAO_090_S53_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI229895,4,tbradg,OCH 2117,South American ,ecuador,cultivated
10,BAO_091_S59_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI258867,4,tbradg,CAR 21,South American ,bolivia,cultivated
10,BAO_092_S65_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI258891,4,tbradg,CAR 305,South American ,bolivia,cultivated
10,BAO_093_S71_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI258921,4,tbradg,CAR 163,South American ,bolivia,cultivated
10,BAO_094_S77_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI258934,4,tbradg,CAR 113,South American ,bolivia,cultivated
8,BAO_095_S83_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI246554,4,tbradg,COR P.256,South American ,peru,cultivated
8,BAO_096_S1_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214435,4,tbradg,SMI 465,South American ,peru,cultivated
8,BAO_098_S13_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI245783,4,tbradg,COR C.43,South American ,peru,cultivated
20,BAO_100_S25_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI245316,4,tbradg,COR C.7,North America,US,cultivated
11,BAO_101_S31_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI245321,4,tbradg,COR C.12,South American ,chile,cultivated
4,BAO_102_S37_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI245845,4,tbr,COR C.105,South American ,chile,cultivated
4,BAO_103_S43_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI245795,4,tbr,COR C.55,South American ,chile,cultivated
8,BAO_104_S2_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI246547,4,tbradg,COR P.249,South American ,peru,cultivated
8,BAO_105_S8_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI292074,4,tbradg,UGN 5243,South American ,peru,cultivated
8,BAO_106_S14_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI292075,4,tbradg,UGN 5244,South American ,peru,cultivated
9,BAO_107_S20_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI296104,4,tbradg,CEP 45,South American ,ecuador,cultivated
8,BAO_109_S32_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI292084,4,tbradg,UGN 5307,South American ,peru,cultivated
8,BAO_111_S44_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214427,4,tbradg,SMI 454,South American ,peru,cultivated
8,BAO_112_S3_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI292088,4,tbradg,UGN 5381,South American ,peru,cultivated
8,BAO_113_S9_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI292101,4,tbradg,UGN 5532,South American ,peru,cultivated
10,BAO_114_S15_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI292132,4,tbradg,UGN 5233,South American ,bolivia,cultivated
20,BAO_116_S27_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI566801,4,tbradg,HOF 1654,South American ,Argentina,cultivated
4,BAO_117_S33_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI245816,4,tbr,COR C.76,South American ,Chile,cultivated
8,BAO_118_S39_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI281049,4,tbradg,WAC 173,South American ,peru,cultivated
8,BAO_119_S45_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI281086,4,tbradg,WAC 268,South American ,peru,cultivated
8,BAO_121_S10_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI186178,4,tbradg,OCH s.n.,South American ,peru,cultivated
8,BAO_122_S16_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI186179,4,tbradg,OCH s.n.,South American ,peru,cultivated
8,BAO_123_S22_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI186180,4,tbradg,OCH s.n.,South American ,peru,cultivated
8,BAO_124_S28_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI195162,4,tbradg,CPC 300,South American ,peru,cultivated
16,BAO_125_S34_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI195188,2,stn,CPC 1514,South American ,peru,cultivated
15,BAO_126_S40_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI195191,2,phu,CPC 836.1,South American ,ecuador,cultivated
15,BAO_127_S46_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI195198,2,phu,CPC 979,South American ,Colombia,cultivated
16,BAO_128_S5_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI195204,2,stn,CPC 712,South American ,peru,cultivated
17,BAO_129_S11_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI195206,2,ber,CPC 1727.3,South American ,bolivia,cultivated
16,BAO_130_S17_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI195214,2,stn,CPC 1793,South American ,peru,cultivated
16,BAO_132_S29_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI205526,2,stn,CPC 1839,South American ,peru,cultivated
16,BAO_133_S35_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI205527,2,stn,CPC 1782,South American ,peru,cultivated
12,BAO_134_S41_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI205622,4,tbradg,CPC 2201 (30),South American ,colombia,cultivated
10,BAO_135_S47_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI205623,4,tbradg,CPC 1673 X 2201,South American ,bolivia,cultivated
8,BAO_136_S6_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI205624,4,tbradg,CPC 2201 (85),South American ,peru,cultivated
8,BAO_140_S30_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214425,4,tbradg,SMI 452,South American ,peru,cultivated
8,BAO_141_S36_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214426,4,tbradg,SMI 453,South American ,peru,cultivated
8,BAO_142_S42_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214429,4,tbradg,SMI 459,South American ,peru,cultivated
8,BAO_143_S48_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214430,4,tbradg,SMI 460,South American ,peru,cultivated
8,BAO_144_S49_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214434,4,tbradg,SMI 464,South American ,peru,cultivated
8,BAO_145_S55_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214436,4,tbradg,SMI 466,South American ,peru,cultivated
8,BAO_146_S61_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214441,4,tbradg,SMI 503,South American ,peru,cultivated
8,BAO_147_S67_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214442,4,tbradg,SMI 504,South American ,peru,cultivated
8,BAO_148_S73_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI214443,4,tbradg,SMI 505,South American ,peru,cultivated
12,BAO_149_S79_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225635,4,tbradg,CCC 427,South American ,venezuela,cultivated
15,BAO_150_S85_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225669,2,phu,CCC 118,South American ,colombia,cultivated
15,BAO_151_S91_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225670,2,phu,CCC 180,South American ,colombia,cultivated
15,BAO_152_S50_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225671,2,phu,CCC 135,South American ,colombia,cultivated
15,BAO_153_S56_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225673,2,phu,CCC 178,South American ,colombia,cultivated
15,BAO_154_S62_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225675,2,phu,CCC 131,South American ,colombia,cultivated
15,BAO_155_S68_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225677,2,phu,CCC 181,South American ,colombia,cultivated
15,BAO_156_S74_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225678,2,phu,CCC 173,South American ,colombia,cultivated
15,BAO_157_S80_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225682,2,phu,CCC 193,South American ,colombia,cultivated
15,BAO_158_S86_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225685,2,phu,CCC 188,South American ,colombia,cultivated
15,BAO_159_S92_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI225707,2,phu,CCC 81,South American ,colombia,cultivated
8,BAO_161_S57_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230457,4,tbradg,CPC 1464,South American ,peru,cultivated
9,BAO_162_S63_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230470,4,tbradg,IICA 3319,South American ,ecuador,cultivated
9,BAO_163_S69_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230471,4,tbradg,IICA 3320,South American ,ecuador,cultivated
8,BAO_164_S75_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230496,4,tbradg,OCH 808,South American ,peru,cultivated
8,BAO_165_S81_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230497,4,tbradg,OCH 816,South American ,peru,cultivated
8,BAO_166_S87_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230498,4,tbradg,OCH 868,South American ,peru,cultivated
8,BAO_167_S93_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230499,4,tbradg,OCH 1226,South American ,peru,cultivated
8,BAO_168_S52_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230500,4,tbradg,OCH 1245,South American ,peru,cultivated
16,BAO_169_S58_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230512,2,stn,OCH 1922,South American ,peru,cultivated
16,BAO_170_S64_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI230513,2,stn,OCH 1933,South American ,peru,cultivated
8,BAO_171_S70_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI232036,4,tbradg,EELM 1,South American ,peru,cultivated
8,BAO_173_S82_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI232840,4,tbradg,EELM s.n.,South American ,peru,cultivated
8,BAO_174_S88_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI232841,4,tbradg,EELM s.n.,South American ,peru,cultivated
8,BAO_175_S94_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI232842,4,tbradg,EELM s.n.,South American ,peru,cultivated
3,BAO_176_S53_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI234004,4,tbr,GND 28,South American ,bolivia,cultivated
9,BAO_177_S59_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI237208,4,tbradg,DIA 5,South American ,ecudor,cultivated
12,BAO_178_S65_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243360,4,tbradg,CCC 2,South American ,colombia,cultivated
12,BAO_179_S71_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243366,4,tbradg,CCC 27,South American ,colombia,cultivated
12,BAO_180_S77_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243396,4,tbradg,CCC 162,South American ,colombia,cultivated
9,BAO_181_S83_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243399,4,tbradg,CCC 194,South American ,ecuador,cultivated
9,BAO_182_S89_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243400,4,tbradg,CCC 196,South American ,ecuador,cultivated
9,BAO_183_S95_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243401,4,tbradg,CCC 198,South American ,ecuador,cultivated
9,BAO_184_S54_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243402,4,tbradg,CCC 199,South American ,ecuador,cultivated
9,BAO_185_S60_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243403,4,tbradg,CCC 201,South American ,ecuador,cultivated
9,BAO_186_S90_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243404,4,tbradg,CCC 203,South American ,ecuador,cultivated
9,BAO_189_S84_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243407,4,tbradg,CCC 208,South American ,ecuador,cultivated
9,BAO_191_S7_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243409,4,tbradg,CCC 210,South American ,ecuador,cultivated
9,BAO_192_S13_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243410,4,tbradg,CCC 214,South American ,ecuador,cultivated
12,BAO_194_S25_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243415,4,tbradg,CCC 249,South American ,colombia,cultivated
12,BAO_195_S31_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243421,4,tbradg,CCC 269,South American ,colombia,cultivated
12,BAO_196_S37_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243435,4,tbradg,CCC 404 ,South American ,colombia,cultivated
12,BAO_197_S43_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243438,4,tbradg,CCC 425,South American ,venezuela,cultivated
15,BAO_198_S2_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243468,2,phu,CCC 299,South American ,colombia,cultivated
15,BAO_199_S8_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI243469,2,phu,CCC 698,South American ,peru,cultivated
11,BAO_200_S14_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI245320,4,tbradg,COR C.11,South American ,chile,cultivated
8,BAO_202_S26_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI246497,4,tbradg,COR P.164,South American ,peru,cultivated
8,BAO_203_S32_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI246499,4,tbradg,COR P.166,South American ,peru,cultivated
8,BAO_204_S38_R1_001_cutadapt_bowtie_sort_rg_marked.bam,PI246514,4,tbradg,COR P.202,South American ,peru,cultivated
